chair 's message nan nan 2001|fact division chair 's message ak gupta  d mahr nan nan|0
garlic : a new flavor of federated query processing for db2 v josifovski  p schwarz  l haas  e lin sigmod conference 2002|garlic : a new flavor of federated query processing for db2 v josifovski  pm schwarz sigmod conference  2002.0|1
garbage collection in object-oriented databases using transactional cyclic reference counting p roy  s seshadri  a silberschatz  s sudarshan  s ashwin vldb j. 1998|functional completeness in object-oriented databases p mishra  m eich acm sigmod record  1992.0|0
mining quantitative association rules in large relational tables r srikant  r agrawal sigmod conference 1996|mining exceptions and quantitative association rules in olap data cube q chen nan 1999.0|0
discover : keyword search in relational databases v hristidis  y papakonstantinou vldb 2002|view indexing in relational databases n roussopoulos acm transactions on database systems  1982.0|0
relational databases for querying xml documents : limitations and opportunities j shanmugasundaram  k tufte  c zhang  g he  d dewitt  j naughton vldb 1999|relational databases for querying xml documents : limitations and opportunities j shanmugasundaram  k tufte vldb  1999.0|1
building database-driven electronic catalogs s danish sigmod record 1998|building database-driven electronic catalogs s danish sigmod record  1998.0|1
are quorums an alternative for data replication ? r jimnez-peris  m patio-martnez  g alonso  b kemme acm trans . database syst . 2003|are quorums an alternative for data replication ? r jimenez-peris  m patino-martinez  g alonso  b acm transactions on database systems  2003.0|1
fast high-dimensional data search in incomplete databases b ooi  c goh  k tan vldb 1998|fast high-dimensional data search in incomplete databases bc ooi  ch goh  kl tan vldb  1998.0|1
asset : a system for supporting extended transactions a biliris  s dar  n gehani  h jagadish  k ramamritham sigmod conference 1994|asset : a system for supporting extended transactions a biliris  s dar  n gehani  hv jagadish  k proceedings of the acm sigmod international conference on & hellip ;  1994.0|1
data grid management systems a jagatheesan  a rajasekar sigmod conference 2003|open object database management systems ja blakeley proceedings of the 1994 acm sigmod international conference & hellip ;  1994.0|0
a framework for information visualisation j kennedy  k mitchell  p barclay sigmod record 1996|information visualization sk card nan nan|0
storing and querying ordered xml using a relational database system i tatarinov  s viglas  k beyer  j shanmugasundaram  e shekita  c zhang sigmod conference 2002|the design of the triton nested relational database system tm harvey  cw schnepf  ma roth sigmod record  1991.0|0
an algebraic approach to rule analysis in expert database systems e baralis  j widom vldb 1994|a dynamic approach to termination analysis for active database rules j bailey  a poulovassilis  p newson nan nan|0
specification and implementation of exceptions in workflow management systems f casati  s ceri  s paraboschi  g pozzi acm trans . database syst . 1999|specification and implementation of exceptions in workflow management systems [ j ] f castai  s ceri acm tods . sep  nan|1
sql open heterogeneous data access b reinwald  h pirahesh sigmod conference 1998|integration of heterogeneous databases jma daz nan nan|0
integrating reliable memory in databases w ng  p chen vldb 1997|integrating databases and workflow systems s shankar  a kini  dj dewitt  j naughton sigmod record  2005.0|0
mapping adaptation under evolving schemas y velegrakis  r miller  l popa vldb 2003|mapping adoption under evolving schemas y velegrakis  rj miller  l popa proceedings of the 29th vldb conference  berlin  germany  nan|1
dynamic load balancing for parallel association rule mining on heterogenous pc cluster systems m tamura  m kitsuregawa vldb 1999|dynamic load balancing for parallel association rule mining on heterogenous pc cluster systems m tamura  m kitsuregawa proceedings of the 25th international conference on very & hellip ;  1999.0|1
treasurer 's message nan nan 2002|needha chair 's message m hagler ieee edsoc/asee ee div . '' newsletter ''  spring nan|0
cache invalidation scheme for mobile computing systems with real-time data j yuen  e chan  k lam  h leung sigmod record 2000|cache invalidation scheme for mobile computing systems with real-time data jch yuen  e chan  hw leung sigmod record  2000.0|1
quadtree and r-tree indexes in oracle spatial : a comparison using gis data k kanth  s ravada  d abugov sigmod conference 2002|quadtree and r-tree indexes in oracle spatial : a comparison using gis data rkv kothuri proceedings of acm sigmod conference  2002.0|1
on supporting containment queries in relational database management systems c zhang  j naughton  d dewitt  q luo  g lohman sigmod conference 2001|fuzziness in database management systems p bosc heidelberg : nan|0
dynamic multidimensional histograms n thaper  s guha  p indyk  n koudas sigmod conference 2002|stholes : a workload aware multidimensional histogram n bruno  l gravano  s chaudhuri proceedings of the acm sigmod conference  nan|0
title  foreword nan nan 1994|foreword a iserles  sp n  rsett nan nan|0
semantics for update rule programs and implementations in a relational database management system l raschid  j lobo acm trans . database syst . 1996|buffer management in relational database systems gm sacco  m schkolnick acm transactions on database systems  1986.0|0
ariadne : a system for constructing mediators for internet sources j ambite  n ashish  g barish  c knoblock  s minton  p modi  i muslea  a philpot  s tejada sigmod conference 1998|ariadne : a system for constructing mediators for internet sources jl ambite  n ashish  g barish  ca knoblock  s sigmod conference  1998.0|1
the ccube constraint object-oriented database system a brodsky  v segal  j chen  p exarkhopoulo sigmod conference 1999|good : agraph-oriented object database system m gemis  j paredaens  i thyssens nan nan|0
selectivity estimation in spatial databases s acharya  v poosala  s ramaswamy sigmod conference 1999|selectivity estimation for spatial joins n an  zy yang  a sivasubramaniam nan nan|0
power efficient data gathering and aggregation in wireless sensor networks h tan  i korpeoglu sigmod record 2003|relay sensor placement in wireless sensor networks x cheng  dz du  l wang  b xu submitted for publication  2003.0|0
temporal database system implementations m bhlen sigmod record 1995|the design and implementation of an extendible deductive database system j kiernan  e simon sigmod record  1989.0|0
a goal-driven auto-configuration tool for the distributed workflow management system mentor-lite m gillmann  j weienfels  g shegalov  w wonner  g weikum sigmod conference 2000|a goal-driven auto-configuration tool for the distributed workflow management system mentor-lite ( m gillmann  j weissenfels  g shegalov  w wonner  g acm sigmod conf . on modeling of data ( sigmod )  dallas  texas  nan|1
the third manifesto h darwen  c date sigmod record 1995|the third manifesto acm sigmod record h darwen  cj date nan nan|1
querying xml views of relational data j shanmugasundaram  j kiernan  e shekita  c fan  j funderburk vldb 2001|storing and querying ordered xml using a relational database system i tatarinov sigmod conference  2002.0|0
birch : an efficient data clustering method for very large databases t zhang  r ramakrishnan  m livny sigmod conference 1996|efficient and effective clustering methods or spatial data mining r ng  j han proc . 1994 int . conf . very large data bases  pages144 { 155  nan|0
tutorial : data access nan nan 2000|tutorial : semistructured data p buneman proceedings of acm symposium on principles of database & hellip ;  nan|0
balancing push and pull for data broadcast s acharya  m franklin  s zdonik sigmod conference 1997|balancing pushand pullfordata broadcast s acharya  m franklin  s zdonik inproceedings of the acm sigmod international conference on & hellip ;  nan|1
a data model and data structures for moving objects databases l forlizzi  r gting  e nardelli  m schneider sigmod conference 2000|a query model for object-oriented databases w krm proceedings of the international conference on very large nan|0
replication : db2  oracle  or sybase ? d stacey sigmod record 1995|replication : db2 d stacey oracle or sybase ?? database programming & nan|1
temporal database system implementations m bhlen sigmod record 1995|design and implementation of the rol deductive object-oriented database system m liu journal of intelligent information systems  2000.0|0
join synopses for approximate query answering s acharya  p gibbons  v poosala  s ramaswamy sigmod conference 1999| s. ramaswamy  and t. suel . aqua : system and techniques for approximate query answering pb gibbons  v poosala  s acharya  y bartal technical report  bell laboratories  murray hill  nj  feb. . nan|0
to table or not to table : a hypertabular answer g santucci  l tarantino sigmod record 1996|to table or not to table : a hypertabular answer g santucci  l tarantino sigmod record  1996.0|1
introduction to the career forum column a labrinidis sigmod record 2001|introduction to part ii ai rudnicky acm press frontier series  1992.0|0
information systems research at george mason university s jajodia  d barbar  a brodsky  l kerschberg  a motro  e sibley  x wang sigmod record 1997|information systems research at george mason university s jajodia  d barbar   a brodsky  l kerschberg  a acm sigmod record  1997.0|1
efficient snapshot differential algorithms for data warehousing w labio  h garcia-molina vldb 1996|efficient snapshot differential algorithms for data warehousing h garcia-molina  wj labio nan 1996.0|1
dynamic multi-resource load balancing in parallel database systems e rahm  r marek vldb 1995|dynamic multi-resource load balancing in parallel db systems e rahm  r marek international conf . on very large data bases ( vldb )  nan|1
semantics for update rule programs and implementations in a relational database management system l raschid  j lobo acm trans . database syst . 1996|system r : relational approach to database management kp eswaran  jn gray  pp griffiths  wf king  ra acm transactions on database systems  1976.0|0
the database and information system research group at the university of ulm p dadam  w klas sigmod record 1997|2004 hosted by the institute for information systems research at the university of hannover  germany m bretschneider nan nan|0
nearest neighbor queries n roussopoulos  s kelley  f vincent sigmod conference 1995|nearest neighborhood queries n roussopoulos  f kelley  f vincent proceedings of acm sigmod conference  nan|1
optimizing queries on compressed bitmaps s amer-yahia  t johnson vldb 2000|optimizing queries on compressed bitmaps s amer-yahia  t johnson proceedings of the 26th international conference on very & hellip ;  2000.0|1
a multi-paradigm querying approach for a generic multimedia database management system j wen  q li  w ma  h zhang sigmod record 2003|a schema partition for multimedia database management systems v turau nan nan|0
databases for gis c medeiros  f pires sigmod record 1994|databases for gis c bauzer medeiros  f pires acm sigmod record 23 nan|1
algorithms for mining distance-based outliers in large datasets e knorr  r ng vldb 1998|algorithms for mining distance-based outliers in large datasets em knox  rt ng nan nan|1
a componentized architecture for dynamic electronic markets b reich  i ben-shaul sigmod record 1998|a componentized architecture for dynamic electronic markets b reich  i ben-shaul sigmod record  1998.0|1
sleepers and workaholics : caching strategies in mobile environments d barbar  t imielinski vldb j. 1995|sleepers and workaholics : caching strategies in mobile environments ( extended version )   mobidata : d barbara  t imielinski mobile computing  nan|1
distributing a search tree among a growing number of processors b krll  p widmayer sigmod conference 1994|pw : distributing a search tree among a growing number of processors b kroll in proceedings of the acm international conference on nan|1
realm-based spatial data types : the rose algebra r gting  m schneider vldb j. 1995|realm-based spatial data types : the rose algebra . fernuniversit $ t hagen  report 141  1993  to rh g 1/4 ting  m schneider vldb nan|1
a fast index for semistructured data b cooper  n sample  m franklin  g hjaltason  m shadmon vldb 2001|an efficient index structure for string databases t kahveci  ak singh vldb  2001.0|0
online query processing nan nan 2001|eddies : continously adaptive query processing r avnur  jm hellerstein acm sigmod  nan|0
models and languages for describing and discovering e-services nan nan 2001|models and languages for describing and discovering e-services ( tutorial ) f casati  mc shan & hellip ; of the international acm sigmod conference on management of nan|1
orientstore : a schema based native xml storage system x meng  d luo  m lee  j an vldb 2003|a schema based native xml storage system . ( demo ) xf meng  df luo  ml lee  jos an proc . of the 29th int ?? l conf . on very large data bases ( & hellip ;  nan|1
what is the data warehousing problem ? ( are materialized views the answer ? ) a gupta  i mumick vldb 1996|what is the data warehousing problem a gupta  is mumick are materialized views the nan|1
metu interoperable database system a dogac  c dengi  e kilic  g zhan  f ozcan  s nural  c evrendilek  u halici  i arpinar  p koksal  n kesim  s mancuhan sigmod record 1995|mefu interoperable database system dd dengi  e kilic sigmod record  nan|1
versioning and configuration management in an object-oriented data model e sciore vldb j. 1994|transaction management in an object-oriented database system  h. boral  p.-a . larson jf garza  w kim proc . acm sigmod  chicago  ill.  sigmod record  nan|0
efficient algorithms for mining outliers from large data sets s ramaswamy  r rastogi  k shim sigmod conference 2000|efficient algorithms for mining outliers from large data sets s ramaswamy sigmod conference  2000.0|1
accelerating xpath location steps t grust sigmod conference 2002|accelerated xpath location steps t grust acm sigmod  nan|1
the ccube constraint object-oriented database system a brodsky  v segal  j chen  p exarkhopoulo sigmod conference 1999|translating object-oriented database transactions into relational transactions j fong information & software technology  2002.0|0
sql standardization : the next steps a eisenberg  j melton sigmod record 2000|sql standardization : the next steps c attractions sigmod record  2000.0|1
privacy-preserving data mining r agrawal  r srikant sigmod conference 2000|privacy-preserving mining of association rules v krishnan  i mumbai  s agrawal  i bangalore  j nan nan|0
database systems - breaking out of the box a silberschatz  s zdonik sigmod record 1997|database systems-breaking out of the box a silberschatz sigmod record  1997.0|1
the design and performance evaluation of alternative xml storage strategies f tian  d dewitt  j chen  c zhang sigmod record 2002|r validation and performance evaluation for distributed queries lf mackert  gm lohman proc . 12th int . vldb nan|0
the ecrc multi database system w jonker  h schtz sigmod conference 1995|the o 2 object-oriented database system f bancilhon proceedings of the 1992 acm sigmod-international conference nan|0
query processing in spatial network databases d papadias  j zhang  n mamoulis  y tao vldb 2003|query processing for sql updates ca galindo-legaria  s stefani  f waas proceedings of the 2004 acm sigmod international conference & hellip ;  2004.0|0
incremental maintenance of views with duplicates t griffin  l libkin sigmod conference 1995|incremental maintenance of recursive views using relational calculus/sql j su sigmod record  2000.0|0
the nd-tree : a dynamic indexing technique for multidimensional non-ordered discrete data spaces g qian  q zhu  q xue  s pramanik vldb 2003|the r + - tree : a dynamic index for multi-dimensional objects tsn roussopoulos  c faloutsos proc . nan|0
editor 's notes m franklin sigmod record 1998|editor 's notes l sechrest new directions for program evaluation  1993.0|0
effective & efficient document ranking without using a large lexicon y ogawa vldb 1996|effective & efficient document ranking without using a large lexicon y ogawa proceedings of the 22th international conference on very & hellip ;  1996.0|1
database management systems and the internet s malaika vldb 1996|on the selection of access paths in a data base system . database management h wedekind proc . ifip working conference on data base management . nan|0
the sr-tree : an index structure for high-dimensional nearest neighbor queries n katayama  s satoh sigmod conference 1997|pk-tree : a spatial index structure for high dimensional point data w wang  j yang  rr muntz nan nan|0
tracing the lineage of view data in a warehousing environment y cui  j widom  j wiener acm trans . database syst . 2000|lineage tracing in a data warehousing system d proposal  y cui  j widom nan nan|0
guest editorial nan nan 2003|gaps in perception ( guest editorial ) ma heller perception  nan|0
bringing order to query optimization g slivinskas  c jensen  r snodgrass sigmod record 2002|continous query optimization r avnur  j hellerstien acm sigmod nan|0
databases for gis c medeiros  f pires sigmod record 1994|databases for gis cb medeiros  f pires sigmod record  1994.0|1
accessing a relational database through an object-oriented database interface j orenstein  d kamber vldb 1995|integration of external object services into deductive object-oriented database u kulkarni nan 2000.0|0
a system for watermarking relational databases r agrawal  p haas  j kiernan sigmod conference 2003|hierarchical schemata for relational databases ye lien acm transactions on database systems ( tods )  1981.0|0
schema mapping as query discovery r miller  l haas  m hernndez vldb 2000|m. hern andez . schema mapping as query discovery r miller  l haas proc vldb  nan|1
materialized views in oracle r bello  k dias  a downing  j jr.  j finnerty  w norcott  h sun  a witkowski  m ziauddin vldb 1998|norcottw.  sun h.  witkowskia.  ziauddin m. materialized views in oracle r bello  k dias  a downing  j feenan  j finnerty proc . ofvldb  nan|1
schemasql - a language for interoperability in relational multi-database systems l lakshmanan  f sadri  i subramanian vldb 1996|multidatabase interoperability in the jupiter system j murphy  j grimson information and software technology  1995.0|0
on supporting containment queries in relational database management systems c zhang  j naughton  d dewitt  q luo  g lohman sigmod conference 2001|implementation of magic-sets in a relational database system is mumick  h pirahesh sigmod conference  1994.0|0
editor 's notes a segev sigmod record 1994|editors ' notes n van note chism  dj bickford new directions for teaching and learning  nan|0
an effective deductive object-oriented database through language integration m barja  n paton  a fernandes  m williams  a dinn vldb 1994|a visual language for object-oriented databases . if cruz international conference on management of data  nan|0
dataguides : enabling query formulation and optimization in semistructured databases r goldman  j widom vldb 1997|dataguides : enabling query formulation and optimization in semi-structured databases  the 23rd int r goldman  j widom conf . on very large databases ( vldb )  athens  greece  nan|1
maintaining data privacy in association rule mining s rizvi  j haritsa vldb 2002|mining association rules in hypertext databases j borges  m levene rn  1999.0|0
supporting multiple view maintenance policies l colby  a kawaguchi  d lieuwen  i mumick  k ross sigmod conference 1997|supporting multiple view maintenance policies ls colby  a kawaguchi  df lieuwen  is mumick  ka proceedings of the 1997 acm sigmod international conference & hellip ;  1997.0|1
gte superpages : using ir techniques for searching complex objects s whitehead  h sinha  m murphy vldb 1997|gte superpages : using ir techniques for searching complex objects s whitehead  h sinha  m murphy proceedings of the international conference on very large & hellip ;  1997.0|1
design and analysis of parametric query optimization algorithms s ganguly vldb 1998|iterative dynamic programming : a new class of query optimization algorithms d kossmann  k stocker acm transactions on database systems  2000.0|0
a practical and modular implementation of extended transaction models r barga  c pu vldb 1995|modular method to implement extended transaction models r barga  cpa practical proceedings of the 21st international conference on very nan|1
counting  enumerating  and sampling of execution plans in a cost-based query optimizer f waas  c galindo-legaria sigmod conference 2000|counting  enumerating  and sampling of execution plans in a cost-based query optimizer f waas  c galindo-legaria sigmod conference  2000.0|1
the ecrc multi database system w jonker  h schtz sigmod conference 1995|the indiana center for database systems j copler acm sigmod record  1991.0|0
bit-sliced index arithmetic d rinfret  p o'neil  e o'neil sigmod conference 2001|bit-sliced index arithmetic d rinfret  po ` neil  eo ` neil nan nan|1
energy-performance trade-offs for spatial access methods on memory-resident data n an  s gurumurthi  a sivasubramaniam  n vijaykrishnan  m kandemir  m irwin vldb j. 2002|analyzing energy behaviorofspatialaccessmethodsformemory-residentdata n an  a sivasubramaniam  n vijaykrishnan  mt the vldb journal  nan|0
mining generalized association rules r srikant  r agrawal vldb 1995|fast algorithms for mining association rules d xin  j han  x li  b wah proc . int . conf . on very large databases ( vldb )  nan|0
online query processing nan nan 2001|knowledge bassed query processing mm hanuner  sb zdonik proceedings of the 6th vldb conference nan|0
concurrency in the data warehouse r taylor vldb 2000|concurrency in the data warehouse r taylor proceedings of the international conference on very large & hellip ;  2000.0|1
bringing object-relational technology to mainstream v krishnamurthy  s banerjee  a nori sigmod conference 1999|bringing object-relational technology to mainstream v krishnamurthy  s banerjee  a nori sigmod conference  1999.0|1
olap + + : powerful and easy-to-use federations of olap and object databases j gu  t pedersen  a shoshani vldb 2000|olap + + : powerful and easy-to-use federations of olap and object databases . demonstrations proposal j gu  tb pedersen  a shoshani & hellip ; - sixth international conference on very large databases  nan|1
webservice composition with o'grape and osiris r weber  c schuler  p neukomm  h schuldt  h schek vldb 2003|web services : foundation and composition j h 1/4 ndling  m weske electronic markets  2003.0|0
shoring up persistent applications m carey  d dewitt  m franklin  n hall  m mcauliffe  j naughton  d schuh  m solomon  c tan  o tsatalos  s white  m zwilling sigmod conference 1994| dt solomon  mh tan  ck tsatalos  og white  sj zwilling  mj : shoring up persistent applications mj carey  dj dewitt  mj franklin sigmod ( siehe sig94 ] )  s. nan|1
state of the art in workflow management research and products nan nan 1996|tutorial : state of the art in workflow management research and products c mohan a tutorial presented at acm sigmod international conference nan|1
editor 's notes l liu sigmod record 2003|editor 's notes rh silkman new directions for program evaluation  nan|0
the araneus web-base management system g mecca  p atzeni  a masci  p merialdo  g sindoni sigmod conference 1998|the cedar database management system m brown ?  proc . 1981 acmsigmod conference on management of data  ann & hellip ;  nan|0
algorithms for mining association rules for binary segmentations of huge categorical databases y morimoto  t fukuda  h matsuzawa  t tokuyama  k yoda vldb 1998|algorithms for finding attribute valuegroup for binary segmentationof categorical databases t tokuyama nan nan|1
capability based mediation in tsimmis c li  r yerneni  v vassalos  h garcia-molina  y papakonstantinou  j ullman  m valiveti sigmod conference 1998|capability based mediation in tsimmis  1998 c li  r yerneni  v vassalos  h garcia-molina  y demonstration  nan|1
object fusion in mediator systems y papakonstantinou  s abiteboul  h garcia-molina vldb 1996|object fusion in mediator systems y papakonstantinou  s abiteboul  h garcia-molina vldb  1996.0|1
procedures in object-oriented query languages k subieta  y kambayashi  j leszczylowski vldb 1995|a query language for manipulating object-oriented databases  '' am alashqur  syw su  h lam proceedings of the fifth international conference on vldb  & hellip ;  nan|0
tigukat : a uniform behavioral objectbase management system m zsu  r peters  d szafron  b irani  a lipka  a muoz vldb j. 1995|tigukat : a uniform behavioral objectbase management system . rj peters nan 1996.0|1
distributed deviation detection in sensor networks t palpanas  d papadopoulos  v kalogeraki  d gunopulos sigmod record 2003|gathering correlated data in sensor networks p rickenbach  r wattenhofer proceedings of acm nan|0
sampling large databases for association rules h toivonen vldb 1996|an efficient algorithm for the incremental updation of association rules in large databases s thomas  s bodagala  k alsabti  s ranka nan nan|0
time-parameterized queries in spatio-temporal databases y tao  d papadias sigmod conference 2002|time-parameterized queries in spatio-temporal databases y tao  d papadias sigmod conference  2002.0|1
semantics for update rule programs and implementations in a relational database management system l raschid  j lobo acm trans . database syst . 1996|relational data-base management systems dd chamberlin acm computing surveys ( csur )  1976.0|0
fast similarity search in the presence of noise  scaling  and translation in time-series databases r agrawal  k lin  h sawhney  k shim vldb 1995|fast similarity search in the presence of noise  scaling  and translation in time-series databases . r agrawal  ki lin  hs sawhney nan 1995.0|1
declarative data cleaning : language  model  and algorithms h galhardas  d florescu  d shasha  e simon  c saita vldb 2001|declarative data cleaning : language  model h galhardas  d florescu  d shasha  e simon  c and algorithms . technical report  inria  nan|1
devise : integrated querying and visual exploration of large datasets ( demo abstract ) m livny  r ramakrishnan  k beyer  g chen  d donjerkovic  s lawande  j myllymaki  r wenger sigmod conference 1997|devise ( demo abstract ) : integrated querying and visual exploration of large datasets m livny  r ramakrishnan  k beyer  g chen  d proceedings of the 1997 acm sigmod international conference & hellip ;  1997.0|1
composite events for active databases : semantics  contexts and detection s chakravarthy  v krishnaprasad  e anwar  s kim vldb 1994|formal semantics for composite temporal events in active database rules i motakis  c zaniolo journal of systems integration  1997.0|0
disima : a distributed and interoperable image database system v oria  m zsu  p iglinski  s lin  b yao sigmod conference 2000|disma : a distributed and interoperable image database system  sigmod 2000  may  2000 v oria  mt ?zsu  p iglinski  s lin  b yao proc . of acm sigmod int . conf . on management of data  dallas nan|1
a survey and critique of advanced transaction models c mohan sigmod conference 1994|tutorial : a survey and critique of advanced transaction models c mohan proceedings  international conference on management of data  nan|1
foreword : management of semistructured data nan nan 1997|semantic integration of semi-structured data s lim  y ng nan nan|0
integrating temporal  real-time  and active databases k ramamritham  r sivasankaran  j stankovic  d towsley  m xiong sigmod record 1996|integrating temporal  real-time  and active databases k ramamritham  r sivasankaran  ja stankovic  dt sigmod record  1996.0|1
research issues in databases for arcs : active rapidly changing data systems a datta sigmod record 1994|research issues in spatial databases o gihtther  a buchmstnn sigmod record  nan|0
building knowledge base management systems j mylopoulos  v chaudhri  d plexousakis  a shrufi  t topaloglou vldb j. 1996|knowledge management strategies j honeycutt nan 2000.0|0
towards a richer web object model f manola sigmod record 1998|towards a web object model f manola nan nan|0
tigukat : a uniform behavioral objectbase management system m zsu  r peters  d szafron  b irani  a lipka  a muoz vldb j. 1995|mu  oz  '' tigukat : a uniform behavioral objectbase management system mt ?zsu  r peters  d szafron  b irani  a lipka vldb nan|1
detection and classification of intrusions and faults using sequences of system calls j cabrera  l lewis  r mehra sigmod record 2001|detection and classification of intrusions and faults using sequences of system calls jbd cabrera  l lewis  rk mehra sigmod record  2001.0|1
mining fuzzy association rules in databases c kuok  a fu  m wong sigmod record 1998|algorithms for mining association rules for binary segmentations of huge categorical databases y morimoto  t fukuda  h matsuzawa  t tokuyama  k proceedings of the international conference on very large & hellip ;  1998.0|0
the mariposa distributed database management system j sidell sigmod record 1996|design criteria for distributed database systems tl kunii vldb  1977.0|0
holistic twig joins on indexed xml documents h jiang  w wang  h lu  j yu vldb 2003|efficient structural joins on indexed xml documents c shu-yao  z vagena  z donghui ?  proceedings of the vldb conference  hongkong  nan|0
data modelling in the large m bertram sigmod record 1994|data modeling for mobile services in the real world cs jensen  tb pedersen  l speicys  i timko nan nan|0
the ores temporal database management system b theodoulidis  a ait-braham  g andrianopoulos  j chaudhary  g karvelis  s sou sigmod conference 1994|self-managing technology in database management systems s chaudhuri  b dageville  g lohman nan nan|0
theory of answering queries using views a halevy sigmod record 2000|answering queries with aggragates using views d srivastava  s dar  h jagadish  a levy proceedings of the international conference on very large & hellip ;  nan|0
fast algorithms for mining association rules in large databases r agrawal  r srikant vldb 1994|mining fuzzy association rules in database mk chan  f ada  hw man sigmod record  nan|0
dataguides : enabling query formulation and optimization in semistructured databases r goldman  j widom vldb 1997|dataguides : enabling query formulation and optimization in semistructured databases r golman  j widom proceedings of the twenty-third internation conference on nan|1
stholes : a multidimensional workload-aware histogram n bruno  s chaudhuri  l gravano sigmod conference 2001|equi-depth multidimensional histograms m muralikrishna  dj dewitt proceedings of the 1988 acm sigmod international conference & hellip ;  1988.0|0
efficient mid-query re-optimization of sub-optimal query execution plans n kabra  d dewitt sigmod conference 1998|efficient mid-query re-optimization of sub-optimal query execution plans d dewitt  n kabra proceedings of acm sigmod nan|1
business data management for b2b electronic commerce c quix  m schoop  m jeusfeld sigmod record 2002|ontologies for electronic commerce dl mcguinness nan nan|0
towards an odmg-compliant visual object query language m chavda  p wood vldb 1997|towards an eectivecalculusfor objectquery languages l fegaras  d maier proc . of the acm sigmod int . conference on management of & hellip ;  nan|0
learning table access cardinalities with leo v markl  g lohman sigmod conference 2002|system performance and benchmarking : learning table access cardinalities with leo v markl  g lohman proc . acm sigmod  june  nan|1
the hyperion project : from data integration to data coordination m arenas  v kantere  a kementsietsidis  i kiringa  r miller  j mylopoulos sigmod record 2003|the hyperion project : from data integration to data coordination m arenas ?  sigmod record  2003.0|1
data grid management systems a jagatheesan  a rajasekar sigmod conference 2003|building knowledge base management systems j mylopoulos  v chaudhri  d plexousakis  a shrufi  the vldb journal the international journal on very large & hellip ;  1996.0|0
sequence query processing p seshadri  m livny  r ramakrishnan sigmod conference 1994|xml query processing d florescu  d kossmann data engineering  2004 . proceedings . 20th international nan|0
searching and mining fine-grained semi-structured data nan nan 2002|path constraints on semistructured and structured data portal.acm.org nan nan|0
the intrinsic problems of structural heterogeneity and an approach to their solution t hrder  g sauter  j thomas vldb j. 1999|the intrinsic problems of structural heterogeneity and an approach to their solution t h $ rder  g sauter  j thomas the vldb journal the international journal on very large & hellip ;  1999.0|1
finding hierarchical heavy hitters in data streams g cormode  f korn  s muthukrishnan  d srivastava vldb 2003|finding hierarchical heavy hitters in data streams g cormode  d srivastava proceedings of the international conference on very large & hellip ;  2003.0|1
real world requirements for decision support - implications for rdbms s bansal sigmod conference 1995|real world requirements for decision support-implications for rdbms sk bansal nan nan|1
mining quantitative association rules in large relational tables r srikant  r agrawal sigmod conference 1996|fast algorithms for mining association rules in large database a rakesh  r srikant nan 1994.0|0
editor 's notes m franklin sigmod record 1999|editor 's notes tw banta implementing outcomes assessment : promise and perils . new & hellip ;  nan|0
on wrapping query languages and efficient xml integration v christophides  s cluet  j simon sigmod conference 2000|on wrapping query languages and efficient xml integration v christophides  s cluet  j sim  on proceedings of the 2000 acm sigmod international conference & hellip ;  2000.0|1
guest editor 's introduction nan nan 2003|guest editor 's introduction f dehne algorithmica  1999.0|0
design and management of data warehouses : report on the dmdw '99 workshop s gatziu  m jeusfeld  m staudt  y vassiliou sigmod record 1999|design and management of data warehouses : report on the dmdw '99 workshop s gatziu  ma jeusfeld  m staudt  y vassiliou sigmod record  1999.0|1
automated selection of materialized views and indexes in sql databases s agrawal  s chaudhuri  v narasayya vldb 2000|materialized view and index selection tool for microsoft sql server 2000 s agrawal  s chaudhuri  v narasayya sigmod conference  2001.0|0
introduction to the career forum column a labrinidis sigmod record 2001|introduction to direetx 8.0 p taylor microsoft corporation  nan|0
an introduction to spatial database systems r gting vldb j. 1994|an introduction to spatial database system r gunting proceedings for the international conference on very large & hellip ;  nan|1
m-tree : an efficient access method for similarity search in metric spaces p ciaccia  m patella  p zezula vldb 1997|the r * - tree : an efficient and robust acess method for points and rectangules n backmann acm sigmod  nan|0
privacy-preserving data mining r agrawal  r srikant sigmod conference 2000|privacy-preserving data mining r agrawal  r srikant nan nan|1
dbminer : interactive mining of multiple-level knowledge in relational databases j han  y fu  w wang  j chiang  o zaane  k koperski sigmod conference 1996|implementing high-level active rules on top of relational databases e simon  j kiernan  c de maindreville proceedings of the international conference on very large & hellip ;  1992.0|0
exploratory mining and pruning optimizations of constrained association rules r ng  l lakshmanan  j han  a pang sigmod conference 1998|panga ( 1998 ) exploratory mining and pruning optimizations of constrained association rules r ng  lvs lakshmanan  j han proc . acm sigmod international conference on management of nan|1
sql open heterogeneous data access b reinwald  h pirahesh sigmod conference 1998|xml schema mappings for heterogeneous database access sr collins  sb navathe  l mark information & software technology  2002.0|0
a cost model for clustered object-oriented databases g gardarin  j gruser  z tang vldb 1995|a taxonomy for secure object-oriented databases ms olivier  sh von solms acm transactions on database systems  1994.0|0
workshop report on experiences using object data management in the real-world nan nan 1998|workshop report : international workshop on distributed object management mt ?zsu  u dayal  p valduriez acm sigmod record  1993.0|0
what happens during a join ? dissecting cpu and memory optimization effects s manegold  p boncz  m kersten vldb 2000|what happens during a join s manegold  pa boncz  ml kersten dissecting cpu and memory optimization effects . in the 26th & hellip ;  nan|1
